Datetime,Date,Temperature,Humidity,Temp_min,Temp_max,Pressure,Wind_speed,Clouds,Precip,Month,Weather
5/1/2003,1051722000,25.4,69.2,19,31,1011,2,52,1,5,sunny
5/2/2003,1051808400,25.9,87.3,23,29.7,1006,3.5,94,2.5,5,rain
5/3/2003,1051894800,27.2,88.3,24,32,1003,3.3,54,5.5,5,sunny
5/4/2003,1051981200,28.1,85,24,34.7,1000,2.3,20,0,5,sunny
5/5/2003,1052067600,30.3,81.2,26,36.6,999,3.1,6,0,5,sunny
5/6/2003,1052154000,32.2,74.4,26,39.2,997,2.7,1,0,5,sunny
5/7/2003,1052240400,31.3,78,27,37.9,1000,3.5,0,0,5,sunny
5/8/2003,1052326800,29.3,86.6,27,32,1007,3.7,66,7.5,5,rain
5/9/2003,1052413200,27.9,88.6,24,31,1011,2.6,83,11,5,rain
5/10/2003,1052499600,28.5,82.4,25,33,1012,3.1,54,4,5,sunny
5/11/2003,1052586000,28.6,83,25,35,1009,3.6,66,6.5,5,rain
5/12/2003,1052672400,28.6,84.7,26,33,1009,2.4,61,1,5,clouds
5/13/2003,1052758800,29,84.6,26,33,1007,4.2,80,0.5,5,clouds
5/14/2003,1052845200,29.4,87.4,26,34,1006,4.3,96,1.5,5,clouds
5/15/2003,1052931600,30.1,85.8,27,34,1003,4.5,100,0,5,clouds
5/16/2003,1053018000,31,85.3,27,35.6,1002,4.1,96,0,5,clouds
5/17/2003,1053104400,31.1,83.4,28,35,1000,3.5,99,2,5,rain
5/18/2003,1053190800,28.1,81,24,30.4,1004,3.4,100,3,5,rain
5/19/2003,1053277200,25.3,84.8,22,28,1010,2.4,96,47.5,5,heavy rain
5/20/2003,1053363600,27.7,81.2,25,31,1010,1.9,81,0,5,clouds
5/21/2003,1053450000,29.4,86.7,26,33,1008,3.1,82,8,5,rain
5/22/2003,1053536400,27,95.7,23.8,29,1006,3.3,87,7.5,5,rain
5/23/2003,1053622800,29,88.3,26,34,1005,3.4,99,20,5,rain
5/24/2003,1053709200,29.5,84.7,24,35,1003,2.5,99,10.5,5,rain
5/25/2003,1053795600,27.6,90.4,24,32,1004,2.7,100,26.5,5,heavy rain
5/26/2003,1053882000,28.7,90.6,26,33,1001,3.6,98,16,5,rain
5/27/2003,1053968400,30.1,84.1,27,34,997,3.3,100,4.5,5,rain
5/28/2003,1054054800,29,84.6,26,33,998,2.7,100,19,5,rain
5/29/2003,1054141200,26.9,91.5,25.6,28,1003,2.5,98,16.5,5,rain
5/30/2003,1054227600,29.1,77.8,25,33,1005,1.8,62,0,5,clouds
5/31/2003,1054314000,28.5,87.5,26,32.6,1005,1.9,66,15,5,rain
6/1/2003,1054400400,28.8,83.9,26,33,1005,2.2,44,1.5,6,sunny
6/2/2003,1054486800,30.1,76.3,27,34,1004,2.7,60,1,6,sunny
6/3/2003,1054573200,28.5,87.6,26,31.2,1005,2.8,91,3,6,rain
6/4/2003,1054659600,28.3,88.1,26,31.5,1006,2.6,98,5.5,6,rain
6/5/2003,1054746000,27,94.5,24,29.7,1005,1.9,99,11,6,rain
6/6/2003,1054832400,31.2,77.9,27,36.7,1002,2.4,98,0,6,clouds
6/7/2003,1054918800,31.7,75.5,28,35.3,1000,2,100,0,6,clouds
6/8/2003,1055005200,32.3,73.3,28,37,1000,2.3,96,0.5,6,clouds
6/9/2003,1055091600,32.1,74.3,28,38,998,4.1,97,0,6,clouds
6/10/2003,1055178000,32.4,72.8,27,38,997,2.7,92,11,6,rain
6/11/2003,1055264400,29,82.9,26,34.1,1000,2.7,98,8,6,rain
6/12/2003,1055350800,27.9,92.2,26,32.3,1002,2.6,100,15,6,rain
6/13/2003,1055437200,29.9,81,24,36,1002,2.9,91,48,6,heavy rain
